Project name,Description of the project,Member_0,Member_0_role,Member_0_skills,Member_1,Member_1_role,Member_1_skills,Member_2,Member_2_role,Member_2_skills,Project_skills
Kolobok,"Software for tire brand and model recognition, determining thread depth and analyzing spikes condition. Project is intended for car services and tire retails",Member_0_26,Frontend,"['JavaScript', 'HTML', 'CSS', 'Three.js (JavaScript)', 'Slick (Scala)', 'R', 'Elixir']",Member_1_75,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'BeautifulSoup (Python)', 'MATLAB', 'POCO (C++)', 'ASP.NET Core (C#)', 'PHPUnit (PHP)']",Member_2_124,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'OpenCV (C++)', 'R', 'Swift']","['Java', 'Express.js (JavaScript)', 'Laravel (PHP)', 'Combine (Swift)', 'JUnit (Java)', 'JavaScript', 'HTML', 'CSS', 'TypeScript', 'Boost (C++)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'TensorFlow (Python)', 'Rocket (Rust)', 'Combine (Swift)', 'Exposed (Kotlin)', 'Swift', 'Next.js (JavaScript)']"
VoiceDiary,"VoiceDiary is an AI-powered voice journaling tool that analyzes tone, emotion, and key themes in spoken entries. It generates personalized emotional insights and well-being suggestions based on recorded reflections.",Member_0_27,Frontend,"['JavaScript', 'HTML', 'CSS', 'Vue.js (JavaScript)', 'Svelte (JavaScript)', 'Next.js (JavaScript)', 'Three.js (JavaScript)', 'Hapi (JavaScript)', 'SQL']",Member_1_76,Backend,"['C#', 'ASP.NET Core (C#)', 'Entity Framework (C#)']",Member_2_125,Backend,"['Java', 'JavaScript', 'Express.js (JavaScript)', 'Spring Boot (Java)', 'Echo (Go)', 'Akka (Scala)', 'COBOL', 'R', 'Solidity']","['C#', 'ASP.NET Core (C#)', 'Entity Framework (C#)', 'Spring (Kotlin)', 'Tornado (Python)', 'Python', 'Bash-it (Shell)', 'JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Hapi (JavaScript)', 'OpenCV (C++)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)', 'MATLAB', 'Julia', 'Scala']"
Metalytics,"The idea is to develop an analytical system for forecasting the prices of specific metals traded on the MOEX or the Tinkoff Exchange. The focus will be on 2-3 metals and basic price prediction. Additionally, the report of explaining price fluctuations and potential market volatility based on news, sanctions, macroeconomic indicators and other external factors will be generated.",Member_0_28,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'Hibernate (Java)', 'Gin (Go)', 'Visual Basic', 'Sinatra (Ruby)']",Member_1_77,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'Julia', 'MATLAB', 'PyTorch (Python)', 'Flask (Python)']",Member_2_126,Backend,"['Java', 'Sequelize (JavaScript)', 'JavaScript', 'Python', 'Elm']","['Python', 'Bottle (Python)', 'Tokio (Rust)', 'jQuery (JavaScript)', 'JavaScript', 'HTML', 'CSS', 'Flutter (Dart)', 'jQuery (JavaScript)', 'Sinatra (Ruby)', 'Shell (Bash)', 'CodeIgniter (PHP)', 'Tornado (Python)', 'POCO (C++)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'Scala', 'Vapor (Swift)', 'Bottle (Python)', 'Bash-it (Shell)']"
Read Tracker,,Member_0_29,Frontend,"['JavaScript', 'HTML', 'CSS', 'Combine (Swift)', 'Angular (TypeScript)', 'Svelte (JavaScript)']",Member_1_78,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'scikit-learn (Python)', 'C']",Member_2_127,Frontend,"['JavaScript', 'HTML', 'CSS', 'Dart', 'jQuery (JavaScript)', 'Next.js (JavaScript)', 'Boost (C++)', 'Micronaut (Java)']","['Java', 'Sequelize (JavaScript)', 'Vert.x (Java)', 'Diesel (Rust)', 'Ruby on Rails (Ruby)', 'JavaScript', 'HTML', 'CSS', 'Dart', 'Three.js (JavaScript)', 'SwiftUI (Swift)', 'Combine (Swift)', 'Kotlin', 'Ruby', 'Shell (Bash)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'BeautifulSoup (Python)', 'Flutter (Dart)']"
ProjectOR,"This platform allows creators to post startup ideas, developers to explore and join projects, and teams to collaborate efficiently. It also features a ""startup graveyard"" to document failed ventures, providing valuable insights for future innovators.",Member_0_30,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'R', 'jQuery (JavaScript)', 'Akka (Scala)', 'Zsh (Shell)']",Member_1_79,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'React (JavaScript)', 'Play Framework (Scala)', 'Hapi (JavaScript)']",Member_2_128,Backend,"['Java', 'Micronaut (Java)', 'TypeORM (TypeScript)']","['C#', 'ASP.NET Core (C#)', 'Matplotlib (Python)', 'Combine (Swift)', 'JavaScript', 'HTML', 'CSS', 'RxJS (TypeScript)', 'Next.js (JavaScript)', 'Rust', 'Chart.js (JavaScript)', 'Serde (Rust)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'scikit-learn (Python)']"
FishMasters,Application for fishermen to find fishing places and access knowledge base about fish species. It will allow users to compete between each other in terms of who caught bigger and rarer fish and to show off their collection of captured fish to friends and other users.,Member_0_31,Backend,"['Go', 'Gin (Go)', 'Revel (Go)', 'Spring Boot (Java)', 'JUnit (Java)']",Member_1_80,Backend,"['Go', 'Gin (Go)', 'Beego (Go)', 'Echo (Go)', 'Crystal', 'Vapor (Swift)']",Member_2_129,Backend,"['C#', 'Entity Framework (C#)', 'ASP.NET Core (C#)', 'Powershell', 'Flask (Python)']","['Go', 'Revel (Go)', 'Echo (Go)', 'COBOL', 'Sinatra (Ruby)', 'Angel (Dart)', 'JavaScript', 'HTML', 'CSS', 'Swift', 'Haskell', 'Beego (Go)', 'NestJS (TypeScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'OpenCV (C++)', 'Zsh (Shell)', 'Tornado (Python)', 'Gin (Go)', 'D3.js (JavaScript)']"
TheCOOrP,Cooperative anomaly management sim in Godot engine (Like Lobotomy Corporation),Member_0_32,Frontend,"['JavaScript', 'HTML', 'CSS', 'Chart.js (JavaScript)', 'Svelte (JavaScript)', 'Rust', 'Three.js (JavaScript)', 'Scala', 'Deno (TypeScript)', 'Elixir']",Member_1_81,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'Fortran', 'Scala', 'C#', 'Chart.js (JavaScript)']",Member_2_130,Frontend,"['JavaScript', 'HTML', 'CSS', 'Combine (Swift)', 'PHPUnit (PHP)', 'C++', 'Actix (Rust)', 'NestJS (TypeScript)']","['Python', 'FastAPI (Python)', 'Flask (Python)', 'Bottle (Python)', 'Xamarin (C#)', 'JavaScript', 'HTML', 'CSS', 'Dart', 'Combine (Swift)', 'Revel (Go)', 'Groovy', 'ASP.NET Core (C#)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'MATLAB', 'Julia']"
InnoSync,"InnoSync is a smart talent-matching and project collaboration platform tailored for university communities and innovation hubs. It connects recruiters (project creators) with recruitees (talent) by streamlining team formation through detailed profile creation, role-based filtering, and AI- powered fast matchmaking.",Member_0_33,Backend,"['Python', 'Django (Python)', 'Bottle (Python)', 'Slick (Scala)']",Member_1_82,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'scikit-learn (Python)', 'OpenCV (C++)', 'R']",Member_2_131,Backend,"['Java', 'Sequelize (JavaScript)', 'JavaScript', 'TypeScript']","['Python', 'Django (Python)', 'FastAPI (Python)', 'Flask (Python)', 'JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'Next.js (JavaScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'OpenCV (C++)', 'BeautifulSoup (Python)', 'Gin (Go)', 'jQuery (JavaScript)']"
Data Sculptor,An integrated IDE agent that mentors users in Machine Learning and DAn integrated IDE agent that mentors users in Machine Learning and Data Science by providing real-time educational feedbackata Science by providing real-time educational feedback,Member_0_34,Backend,"['Python', 'Tornado (Python)', 'Django (Python)', 'Xamarin (C#)']",Member_1_83,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'Requests (Python)', 'scikit-learn (Python)', 'JUnit (Java)', 'Vue.js (JavaScript)']",Member_2_132,Backend,"['C#', 'Entity Framework (C#)', 'ASP.NET Core (C#)', 'Bash-it (Shell)', 'Serde (Rust)', 'GORM (Go)', 'Perl', 'Julia']","['Java', 'Express.js (JavaScript)', 'Jakarta EE (Java)', 'Micronaut (Java)', 'Qt (C++)', 'Ruby on Rails (Ruby)', 'Assembly', 'JavaScript', 'HTML', 'CSS', 'SwiftUI (Swift)', 'Three.js (JavaScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'Perl', 'React (JavaScript)', 'Svelte (JavaScript)', 'Dart']"
Fluently,"Fluently aims to address the lack of effective English teaching applications for learners at A2-C2 CEFR levels by providing personalized lessons and realistic conversations with AI. Users can enhance their spoken English through user-specific vocabulary, quick tests, and progress tracking across various devices. The platform focuses on meeting individual needs by offering tailored lessons based on user goals, levels, and learning schedules.",Member_0_35,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'TensorFlow (Python)', 'Scala', 'PyTorch (Python)', 'Crystal']",Member_1_84,Backend,"['Go', 'Revel (Go)', 'Gin (Go)', 'Beego (Go)', 'Hanami (Ruby)']",Member_2_133,Backend,"['Python', 'Flask (Python)', 'Django (Python)', 'Express.js (JavaScript)', 'GTK (C)']","['Java', 'Hapi (JavaScript)', 'JavaScript', 'HTML', 'CSS', 'Svelte (JavaScript)', 'SwiftUI (Swift)', 'Swift', 'Actix (Rust)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)', 'scikit-learn (Python)', 'Julia', 'Slick (Scala)', 'Rocket (Rust)', 'TypeScript']"
Looki,"The idea is an application that allows users to try on clothes virtually using computer vision and 3D modeling technologies. The application analyzes the user's parameters from a photo, recommends suitable sizes and creates a personalized 3D model for virtual fitting",Member_0_36,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'TensorFlow (Python)', 'PyTorch (Python)', 'Requests (Python)']",Member_1_85,Frontend,"['JavaScript', 'HTML', 'CSS', 'Three.js (JavaScript)', 'Next.js (JavaScript)', 'Scala', 'Actix (Rust)', 'Play Framework (Scala)']",Member_2_134,Backend,"['Python', 'Scrapy (Python)', 'Flask (Python)', 'Django (Python)', 'Yii (PHP)', 'Lua']","['Go', 'Revel (Go)', 'Echo (Go)', 'Diesel (Rust)', 'Cocos2d-x (C++)', 'JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Three.js (JavaScript)', 'CodeIgniter (PHP)', 'Kotlin', 'TypeScript', 'NestJS (TypeScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'Scala', 'Swift']"
Vanguard,"An interactive learning platform that allows users to create and play real-time quizzes. Teachers, trainers, or event hosts can easily design engaging quizzes, while participants join from any device and compete for the top spot on the leaderboard. With gamification elements like timers, points, and live feedback, this project makes learning fun and dynamic. The platform supports provides detailed performance analytics. Perfect for classrooms, corporate training, and social events, it turns assessments into an exciting, game-like experience",Member_0_37,Frontend,"['JavaScript', 'HTML', 'CSS', 'Svelte (JavaScript)', 'Combine (Swift)', 'F#', 'Lua', 'OpenCV (C++)']",Member_1_86,Frontend,"['JavaScript', 'HTML', 'CSS', 'Chart.js (JavaScript)', 'TypeORM (TypeScript)', 'Laravel (PHP)', 'TypeScript', 'Elm']",Member_2_135,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'Fortran', 'OpenCV (C++)', 'Flask (Python)', 'Diesel (Rust)']","['C#', 'ASP.NET Core (C#)', 'Entity Framework (C#)', 'Akka (Scala)', 'JavaScript', 'HTML', 'CSS', 'Vue.js (JavaScript)', 'RxJS (TypeScript)', 'BeautifulSoup (Python)', 'Hibernate (Java)', 'Slick (Scala)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)']"
EdHub,"Learning Management System for interaction between teachers, students, and parents. The teacher can upload materials, create homework assignments, see student submissions, grade them based on criteria, and and calculate course grade.",Member_0_38,Backend,"['Java', 'Hibernate (Java)', 'Swift', 'Python', 'Micronaut (Java)', 'TensorFlow (Python)', 'Hanami (Ruby)']",Member_1_87,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)', 'scikit-learn (Python)']",Member_2_136,Frontend,"['JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Combine (Swift)', 'Assembly', 'SwiftUI (Swift)']","['Go', 'Echo (Go)', 'TensorFlow (Python)', 'Akka (Scala)', 'JavaScript', 'HTML', 'CSS', 'Next.js (JavaScript)', 'Flutter (Dart)', 'Svelte (JavaScript)', 'GTK (C)', 'Assembly', 'C++', 'Jakarta EE (Java)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'Requests (Python)', 'PHPUnit (PHP)', 'SDL (C)']"
Autonomous drift control,"We’re developing an autonomous drift stabilization system for all-wheel-drive vehicles, with initial testing on an RC car. Using minimal sensor data, the control system will calculate the vehicle’s current and predicted states, then apply corrective actions to maintain stability during drifts. This small-scale prototype will demonstrate how advanced control algorithms can handle extreme driving conditions.",Member_0_39,Frontend,"['JavaScript', 'HTML', 'CSS', 'TypeScript']",Member_1_88,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'TensorFlow (Python)', 'scikit-learn (Python)']",Member_2_137,Frontend,"['JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'Vue.js (JavaScript)', 'Crystal', 'Jakarta EE (Java)', 'C', 'Angular (TypeScript)']","['C#', 'ASP.NET Core (C#)', 'JavaScript', 'HTML', 'CSS', 'Three.js (JavaScript)', 'Laravel (PHP)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'R', 'GORM (Go)', 'Dart', 'Rust']"
styleU,"the idea of ​​the project is to create an AI stylist who could give recommendations on style and select images for a specific user request. In order to select clothes more efficiently, it is also planned to add the definition of color type by photo and body type by parameters from the user. We plan to collect images from products from popular marketplaces like wb/ozon",Member_0_40,Frontend,"['JavaScript', 'HTML', 'CSS', 'Dart', 'Hapi (JavaScript)', 'Tornado (Python)', 'scikit-learn (Python)', 'Lua', 'ASP.NET Core (C#)']",Member_1_89,Frontend,"['JavaScript', 'HTML', 'CSS', 'TypeScript', 'Swift', 'Express.js (JavaScript)']",Member_2_138,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'scikit-learn (Python)', 'Julia', 'Requests (Python)', 'Blazor (C#)', 'GORM (Go)', 'Tornado (Python)', 'Unity (C#)']","['C#', 'ASP.NET Core (C#)', 'Rocket (Rust)', 'Rust', 'JavaScript', 'HTML', 'CSS', 'Dart', 'SwiftUI (Swift)', 'F#', 'Powershell', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'MATLAB', 'SQL', 'Kotlin']"
Project Fly,This project is a request for the development of a solution for agricultural drone use. The task will involve development of the a system for measuring the liquid level in a UAV tank for spraying agricultural crops,Member_0_41,Frontend,"['JavaScript', 'HTML', 'CSS', 'Swift', 'Blazor (C#)', 'Three.js (JavaScript)', 'Groovy']",Member_1_90,Frontend,"['JavaScript', 'HTML', 'CSS', 'Blazor (C#)', 'Flutter (Dart)', 'RxJS (TypeScript)', 'TensorFlow (Python)', 'Actix (Rust)', 'Matplotlib (Python)', 'C++']",Member_2_139,Frontend,"['JavaScript', 'HTML', 'CSS', 'Combine (Swift)', 'Svelte (JavaScript)']","['Go', 'Echo (Go)', 'Revel (Go)', 'JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'POCO (C++)', 'Apex', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)']"
Hypershelf,"Digital assets inventory system, designed to unify the information in one place. Like a big table with many static views, links and a cool plugin system.",Member_0_42,Backend,"['Java', 'Sequelize (JavaScript)', 'JavaScript', 'Spring (Kotlin)', 'C++', 'ABAP', 'Swift']",Member_1_91,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'Requests (Python)', 'BeautifulSoup (Python)', 'Jakarta EE (Java)', 'SDL (C)', 'Objective-C', 'Apex', 'OpenCV (C++)']",Member_2_140,Backend,"['C#', 'ASP.NET Core (C#)', 'Entity Framework (C#)', 'Beego (Go)', 'Shell (Bash)', 'Yii (PHP)']","['Python', 'FastAPI (Python)', 'Django (Python)', 'Flask (Python)', 'JavaScript', 'HTML', 'CSS', 'Elm', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'scikit-learn (Python)', 'Requests (Python)', 'MATLAB']"
CookCookhNya,People have ingredients but don't know what to cook. Our project will keep track of list of products that you have and will suggest recipes for them based on their preferences.,Member_0_43,Backend,"['Go', 'Echo (Go)', 'scikit-learn (Python)', 'Vert.x (Java)']",Member_1_92,Backend,"['Go', 'Echo (Go)', 'GORM (Go)']",Member_2_141,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'BeautifulSoup (Python)', 'Julia']","['Python', 'Django (Python)', 'Tornado (Python)', 'Scrapy (Python)', 'TypeScript', 'Matplotlib (Python)', 'Flutter (Dart)', 'JavaScript', 'HTML', 'CSS', 'Flutter (Dart)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'TensorFlow (Python)', 'PyTorch (Python)', 'PHP']"
MLTD,"MLTD is a threat detection API used for detecting any cyber threats in log files. It uses machine learning to find any threats from user-provided log files. Users can upload their log files to a front end web ui, and the backend will check for any threats and send any results back to the user.",Member_0_44,Frontend,"['JavaScript', 'HTML', 'CSS', 'Flutter (Dart)', 'Chart.js (JavaScript)', 'RxJS (TypeScript)', 'SDL (C)', 'Ruby on Rails (Ruby)']",Member_1_93,Backend,"['C#', 'ASP.NET Core (C#)', 'Entity Framework (C#)', 'FastAPI (Python)', 'Qt (C++)']",Member_2_142,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'scikit-learn (Python)', 'OpenCV (C++)', 'Angel (Dart)', 'Swift', 'SQL', 'JUnit (Java)']","['Python', 'Scrapy (Python)', 'Bottle (Python)', 'Django (Python)', 'Micronaut (Java)', 'Bash-it (Shell)', 'JavaScript', 'HTML', 'CSS', 'Svelte (JavaScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)', 'Serde (Rust)', 'Micronaut (Java)', 'Spring (Kotlin)', 'C#']"
InnoLock,"The goal of the project is to develop a network-isolation solution for endpoints managed by a central host. The solution includes a simple EDR agent that runs in both userland and kernelland on each endpoint, monitoring system events and collecting security telemetry, while providing the capability to isolate the host at the network level upon receiving a command from the central host. In addition, the project involves creating a central management host responsible for aggregating logs and alerts from all endpoint agents, analyzing incoming telemetry to detect anomalies or policy violations, and orchestrating the network-isolation process by issuing commands to the appropriate agents. This integrated architecture will enable rapid containment of compromised or suspicious hosts, while maintaining comprehensive visibility and centralized control.",Member_0_45,Backend,"['Java', 'Hibernate (Java)', 'Solidity', 'Combine (Swift)', 'Django (Python)']",Member_1_94,Backend,"['Go', 'Beego (Go)', 'Revel (Go)']",Member_2_143,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'PHP', 'Haskell', 'Kotlin', 'Beego (Go)']","['Java', 'Express.js (JavaScript)', 'JavaScript', 'HTML', 'CSS', 'Flutter (Dart)', 'COBOL', 'Tokio (Rust)', 'Visual Basic', 'Boost (C++)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'scikit-learn (Python)', 'RSpec (Ruby)', 'C++', 'Akka (Scala)', 'Gin (Go)']"
Open Labs Share,"Open Labs Share is an open platform, where professionals and amateurs can share their knowledge and experience to everyone for free. Instructors can upload and organize experiments, students can access materials, participate in discussions, and receive instant quiz feedback—all while earning reputation points for their contributions.",Member_0_46,Frontend,"['JavaScript', 'HTML', 'CSS', 'Elm']",Member_1_95,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'Flutter (Dart)', 'Cocos2d-x (C++)']",Member_2_144,Backend,"['C#', 'ASP.NET Core (C#)', 'Entity Framework (C#)']","['Python', 'Scrapy (Python)', 'Django (Python)', 'FastAPI (Python)', 'Vert.x (Java)', 'Haskell', 'Powershell', 'JavaScript', 'HTML', 'CSS', 'SwiftUI (Swift)', 'RxJS (TypeScript)', 'Revel (Go)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'OpenCV (C++)', 'Fortran', 'Kotlin', 'Chart.js (JavaScript)']"
GoalSight,"A web page with an AI tool that aggregates and structures advanced
 football statistics from various sources, provides convenient visualizations and
 summaries of teams and tournaments, and allows you to quickly and intuitively find
 the information you need. The platform will become a central hub for all football
 analytics and will greatly simplify the work of coaches, journalists and fans.",Member_0_47,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'PyTorch (Python)']",Member_1_96,Backend,"['Python', 'Tornado (Python)', 'FastAPI (Python)', 'Django (Python)', 'Hanami (Ruby)', 'Go']",Member_2_145,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'TensorFlow (Python)', 'Deno (TypeScript)']","['Go', 'Beego (Go)', 'Gin (Go)', 'Rocket (Rust)', 'Tokio (Rust)', 'Vert.x (Java)', 'Three.js (JavaScript)', 'JavaScript', 'HTML', 'CSS', 'Three.js (JavaScript)', 'Angular (TypeScript)', 'SDL (C)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'Sequelize (JavaScript)', 'Angel (Dart)']"
evening jam,"The goal of the project is to develop a narrative-driven platformer-puzzle game featuring a unique energy-transfer mechanic. The player explores a sketchy, torn-paper world, using a portable lightbulb as a source of power to interact with the environment by placing it into various receivers. The story unfolds through text pop-ups, delivering a lo-fi, heartfelt narrative. The visual style embraces messy, hand-drawn sketches, while the soundtrack consists of raw a cappella recordings, reinforcing the game's intimate, improvised atmosphere. The project is a collaborative effort between artists, writers, programmers, and sound designers, each contributing to a deliberately scrappy and expressive experience.",Member_0_48,Backend,"['Java', 'Jakarta EE (Java)', 'PHP', 'ABAP', 'D3.js (JavaScript)', 'Exposed (Kotlin)']",Member_1_97,Frontend,"['JavaScript', 'HTML', 'CSS', 'Three.js (JavaScript)', 'Dart', 'Hanami (Ruby)', 'Python']",Member_2_146,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala']","['Go', 'Gin (Go)', 'Echo (Go)', 'Beego (Go)', 'Shell (Bash)', 'Blazor (C#)', 'Entity Framework (C#)', 'Angel (Dart)', 'JavaScript', 'HTML', 'CSS', 'Dart', 'Vue.js (JavaScript)', 'Elm', 'Micronaut (Java)', 'MATLAB', 'COBOL', 'Rust', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'Scala', 'MATLAB', 'Cocos2d-x (C++)', 'Boost (C++)', 'JUnit (Java)']"
